,Unnamed: 0,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,shots,powerPlayGoals,shotPct,gameWinningGoals,shortHandedGoals,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts,team_switch,fullName,diff
55,0,20202021,Florida Panthers,National Hockey League,1,22,10,18.0,43,18.0,27.0,32,104.0,1.0,9.6,1.0,0.0,674:26,32.0,2.0,57:02,592:31,0.0,0.0,1.0,24:53,9.0,900.0,True,Anthony Duclair,-13.0
56,0,20202021,Arizona Coyotes,National Hockey League,1,2,1,2.0,15,2.0,-2.0,3,15.0,0.0,6.7,0.0,0.0,166:09,39.0,1.0,16:21,149:48,50.0,0.0,0.0,00:00,2.0,230.0,False,Lane Pederson,
57,0,20212022,San Jose Sharks,National Hockey League,1,2,0,10.0,29,10.0,-16.0,2,24.0,0.0,0.0,0.0,0.0,305:02,54.0,0.0,17:05,285:57,43.75,0.0,0.0,02:00,10.0,418.0,True,Lane Pederson,-1.0
58,0,20182019,Dallas Stars,National Hockey League,1,12,5,7.0,42,7.0,0.0,17,44.0,0.0,11.36,3.0,1.0,558:17,42.0,2.0,49:45,460:37,50.0,0.0,1.0,47:55,33.0,857.0,False,Devin Shore,
59,0,20182019,Anaheim Ducks,National Hockey League,2,7,5,6.0,34,6.0,-12.0,12,38.0,2.0,13.16,1.0,1.0,525:29,52.0,3.0,45:32,430:24,37.58,0.0,1.0,49:33,31.0,701.0,True,Devin Shore,0.0
60,0,20192020,Anaheim Ducks,National Hockey League,1,6,4,8.0,39,8.0,-8.0,10,47.0,0.0,8.5,1.0,0.0,467:37,47.0,2.0,20:43,438:55,48.15,0.0,0.0,07:59,13.0,657.0,False,Devin Shore,
61,0,20192020,Columbus Blue Jackets,National Hockey League,2,1,1,0.0,6,0.0,-2.0,2,3.0,0.0,33.3,0.0,0.0,56:27,5.0,0.0,00:14,55:24,42.11,0.0,0.0,00:49,1.0,82.0,True,Devin Shore,-3.0
62,0,20192020,Columbus Blue Jackets,National Hockey League,2,1,1,0.0,6,0.0,-2.0,2,3.0,0.0,33.3,0.0,0.0,56:27,5.0,0.0,00:14,55:24,42.11,0.0,0.0,00:49,1.0,82.0,False,Devin Shore,
63,0,20202021,Edmonton Oilers,National Hockey League,1,4,5,6.0,38,6.0,-4.0,9,27.0,0.0,18.5,1.0,1.0,415:02,73.0,0.0,00:57,368:54,52.78,0.0,1.0,45:11,26.0,569.0,True,Devin Shore,4.0
64,0,20092010,St. Louis Blues,National Hockey League,1,0,2,4.0,7,4.0,2.0,2,8.0,1.0,25.0,0.0,0.0,75:44,8.0,1.0,09:26,66:16,47.37,0.0,0.0,00:02,1.0,106.0,False,Lars Eller,
65,0,20102011,Montréal Canadiens,National Hockey League,1,10,7,48.0,77,48.0,-4.0,17,79.0,0.0,8.86,2.0,0.0,857:32,85.0,0.0,22:04,828:35,42.46,0.0,0.0,06:53,22.0,1151.0,True,Lars Eller,5.0
66,0,20152016,Montréal Canadiens,National Hockey League,1,13,13,28.0,79,28.0,-13.0,26,149.0,1.0,8.72,2.0,1.0,1205:19,111.0,1.0,76:42,1022:44,50.61,0.0,1.0,105:53,36.0,1756.0,False,Lars Eller,
67,0,20162017,Washington Capitals,National Hockey League,1,13,12,36.0,81,36.0,15.0,25,115.0,0.0,10.43,2.0,1.0,1125:58,71.0,1.0,14:34,935:54,47.11,0.0,1.0,175:30,30.0,1501.0,True,Lars Eller,-1.0
68,0,20182019,Chicago Blackhawks,National Hockey League,1,9,2,6.0,23,6.0,-4.0,11,33.0,1.0,6.06,0.0,0.0,406:52,5.0,1.0,61:46,332:30,43.33,0.0,0.0,12:36,7.0,474.0,False,Nick Schmaltz,
69,0,20182019,Arizona Coyotes,National Hockey League,2,9,5,2.0,17,2.0,-8.0,14,29.0,4.0,17.24,2.0,0.0,306:22,0.0,7.0,60:45,245:04,32.3,1.0,0.0,00:33,5.0,373.0,True,Nick Schmaltz,3.0
70,0,20172018,Los Angeles Kings,National Hockey League,1,6,3,50.0,45,50.0,-6.0,9,47.0,0.0,6.38,2.0,0.0,422:32,77.0,0.0,01:49,419:30,45.28,0.0,0.0,01:13,11.0,597.0,False,Andy Andreoff,
71,0,20192020,Philadelphia Flyers,National Hockey League,1,1,0,2.0,14,2.0,-3.0,1,14.0,0.0,0.0,0.0,0.0,119:28,20.0,0.0,00:07,119:21,50.0,0.0,0.0,00:00,4.0,178.0,True,Andy Andreoff,-3.0
72,0,20202021,Philadelphia Flyers,National Hockey League,1,0,0,9.0,6,9.0,-6.0,0,2.0,0.0,0.0,0.0,0.0,51:39,14.0,0.0,00:10,51:25,62.5,0.0,0.0,00:04,1.0,83.0,False,Andy Andreoff,
